7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,6,6,6,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,6,6,6,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,7,7
7,7,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,6,6,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,6,6,6,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,7,7
7,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,6,6,6,7,7,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,6,6,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,7,7
7,7,0,0,0,0,0,0,0,7,7,7,1,0,0,0,1,1,7,7,6,6,6,7,7,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,7,7,7,1,1,1,0,0,0,0,1,0,1,0,0,0,1,6,6,6,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,7,7
7,7,1,0,0,0,7,7,7,7,1,7,0,1,1,0,0,1,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,1,7,1,1,0,0,0,1,1,0,1,0,0,0,1,1,6,6,6,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,7,7
7,7,1,0,0,0,1,7,7,7,7,7,7,1,0,1,0,0,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,7,7,0,0,0,1,1,0,1,0,0,0,1,0,1,1,6,6,6,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,7,7
7,7,0,0,0,0,0,1,7,7,0,7,1,0,0,1,0,0,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,7,7
7,7,1,0,0,0,0,0,0,7,1,7,1,0,0,0,1,1,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,7,7
7,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,7,7
7,7,1,0,0,0,0,1,0,0,0,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,7,7,7,7,6,6,6,7,7,7,7,0,0,0,7,7,7,0,0,0,1,0,1,0,0,1,0,1,0,1,0,6,6,6,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,7,7
